# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
34            	smoothSolver	2.870310e-03	2.485250e-04	8	5.104020e-02	5.038510e-03	7	4.633440e-02	3.528850e-03	8	false	GAMG	1.701290e-02	1.040330e-04	4	true
35            	smoothSolver	2.784070e-03	2.408420e-04	8	5.043870e-02	5.036950e-03	7	4.466980e-02	3.407280e-03	8	false	GAMG	1.639840e-02	9.794520e-05	4	true
36            	smoothSolver	2.668360e-03	2.309550e-04	8	5.080980e-02	3.803920e-03	8	4.324180e-02	3.280120e-03	8	false	GAMG	1.581470e-02	9.430750e-05	4	true
37            	smoothSolver	2.546070e-03	2.213200e-04	8	5.137630e-02	5.126990e-03	7	4.175530e-02	3.147520e-03	8	false	GAMG	1.526660e-02	9.442260e-05	4	true
38            	smoothSolver	2.422810e-03	2.111040e-04	8	5.157660e-02	5.142390e-03	7	3.978010e-02	3.970450e-03	7	false	GAMG	1.467320e-02	9.058430e-05	4	true
39            	smoothSolver	2.302200e-03	2.010250e-04	8	5.103960e-02	5.057010e-03	7	3.820430e-02	3.762200e-03	7	false	GAMG	1.405090e-02	8.850360e-05	4	true
40            	smoothSolver	2.196600e-03	1.915120e-04	8	4.969920e-02	4.846010e-03	7	3.667230e-02	3.590880e-03	7	false	GAMG	1.347370e-02	8.568900e-05	4	true
41            	smoothSolver	2.107240e-03	1.817430e-04	8	4.729770e-02	4.533790e-03	7	3.516540e-02	3.429610e-03	7	false	GAMG	1.285700e-02	8.016900e-05	4	true
42            	smoothSolver	2.014450e-03	1.698580e-04	8	4.385620e-02	4.191510e-03	7	3.358780e-02	3.262690e-03	7	false	GAMG	1.221520e-02	7.214970e-05	4	true
43            	smoothSolver	1.904530e-03	1.581920e-04	8	3.996520e-02	3.782450e-03	7	3.187040e-02	3.051440e-03	7	false	GAMG	1.167760e-02	6.473480e-05	4	true
44            	smoothSolver	1.780790e-03	1.475910e-04	8	3.624900e-02	3.402080e-03	7	2.985310e-02	2.794820e-03	7	false	GAMG	1.124880e-02	5.915190e-05	4	true
45            	smoothSolver	1.666540e-03	1.376980e-04	8	3.316000e-02	3.094930e-03	7	2.785680e-02	2.539570e-03	7	false	GAMG	1.087650e-02	5.582490e-05	4	true
46            	smoothSolver	1.562130e-03	1.282430e-04	8	3.099950e-02	2.878880e-03	7	2.595610e-02	2.333900e-03	7	false	GAMG	1.051490e-02	5.356150e-05	4	true
47            	smoothSolver	1.476460e-03	1.201100e-04	8	2.968440e-02	2.719820e-03	7	2.461420e-02	2.176650e-03	7	false	GAMG	1.012070e-02	5.291960e-05	4	true
48            	smoothSolver	1.395690e-03	1.130320e-04	8	2.879570e-02	2.582300e-03	7	2.362380e-02	2.054850e-03	7	false	GAMG	9.698210e-03	5.170840e-05	4	true
