# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
5095            	-1.83619244e-02	-4.85324972e-02	3.01705728e-02	7.87030699e-01	4.00372703e-01	3.86657997e-01	6.85735298e-03	-3.93515350e-02	-9.18096220e-04	5.45592542e-21	-9.18096220e-04	9.18096220e-04
5096            	-1.83699171e-02	-4.85376541e-02	3.01677370e-02	7.87053912e-01	4.00391235e-01	3.86662676e-01	6.86427959e-03	-3.93526956e-02	-9.18495855e-04	5.45622198e-21	-9.18495855e-04	9.18495855e-04
5097            	-1.83778716e-02	-4.85427915e-02	3.01649199e-02	7.87077114e-01	4.00409719e-01	3.86667395e-01	6.87116198e-03	-3.93538557e-02	-9.18893581e-04	5.45652025e-21	-9.18893581e-04	9.18893581e-04
5098            	-1.83857797e-02	-4.85479074e-02	3.01621277e-02	7.87100351e-01	4.00428164e-01	3.86672187e-01	6.87798880e-03	-3.93550175e-02	-9.19288984e-04	5.45681948e-21	-9.19288984e-04	9.19288984e-04
5099            	-1.83936344e-02	-4.85530000e-02	3.01593656e-02	7.87123656e-01	4.00446578e-01	3.86677077e-01	6.88475054e-03	-3.93561828e-02	-9.19681720e-04	5.45711924e-21	-9.19681720e-04	9.19681720e-04
5100            	-1.84014310e-02	-4.85580681e-02	3.01566371e-02	7.87147051e-01	4.00464966e-01	3.86682085e-01	6.89144059e-03	-3.93573526e-02	-9.20071552e-04	5.45741945e-21	-9.20071552e-04	9.20071552e-04
5101            	-1.84091672e-02	-4.85631110e-02	3.01539438e-02	7.87170548e-01	4.00483330e-01	3.86687219e-01	6.89805559e-03	-3.93585274e-02	-9.20458360e-04	5.45772037e-21	-9.20458360e-04	9.20458360e-04
5102            	-1.84168426e-02	-4.85681286e-02	3.01512860e-02	7.87194145e-01	4.00501668e-01	3.86692477e-01	6.90459517e-03	-3.93597073e-02	-9.20842130e-04	5.45802252e-21	-9.20842130e-04	9.20842130e-04
5103            	-1.84243257e-02	-4.85730124e-02	3.01486867e-02	7.87216992e-01	4.00519426e-01	3.86697566e-01	6.91092990e-03	-3.93608496e-02	-9.21216285e-04	5.45830922e-21	-9.21216285e-04	9.21216285e-04
5104            	-1.84319491e-02	-4.85780380e-02	3.01460890e-02	7.87241270e-01	4.00538020e-01	3.86703250e-01	6.91738485e-03	-3.93620635e-02	-9.21597453e-04	5.45862478e-21	-9.21597453e-04	9.21597453e-04
5105            	-1.84393837e-02	-4.85829278e-02	3.01435441e-02	7.87264718e-01	4.00556003e-01	3.86708715e-01	6.92364407e-03	-3.93632359e-02	-9.21969185e-04	5.45892577e-21	-9.21969185e-04	9.21969185e-04
5106            	-1.84469396e-02	-4.85879422e-02	3.01410026e-02	7.87289448e-01	4.00574730e-01	3.86714718e-01	6.93000576e-03	-3.93644724e-02	-9.22346978e-04	5.45925492e-21	-9.22346978e-04	9.22346978e-04
5107            	-1.84542906e-02	-4.85928002e-02	3.01385095e-02	7.87313097e-01	4.00592712e-01	3.86720385e-01	6.93616328e-03	-3.93656549e-02	-9.22714530e-04	5.45956598e-21	-9.22714530e-04	9.22714530e-04
5108            	-1.84616171e-02	-4.85976553e-02	3.01360383e-02	7.87336936e-01	4.00610756e-01	3.86726180e-01	6.94228786e-03	-3.93668468e-02	-9.23080854e-04	5.45988386e-21	-9.23080854e-04	9.23080854e-04
5109            	-1.84689177e-02	-4.86025065e-02	3.01335888e-02	7.87360953e-01	4.00628855e-01	3.86732097e-01	6.94837893e-03	-3.93680476e-02	-9.23445884e-04	5.46020867e-21	-9.23445884e-04	9.23445884e-04
5110            	-1.84761852e-02	-4.86073474e-02	3.01311622e-02	7.87385096e-01	4.00646978e-01	3.86738118e-01	6.95443018e-03	-3.93692548e-02	-9.23809260e-04	5.46053921e-21	-9.23809260e-04	9.23809260e-04
