# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	1.57121800e-01	7.88815829e-02	7.82402173e-02	-6.41365593e-03	-8.94993846e-03	2.53628253e-03	-5.74311050e-03	3.20682797e-04	7.85609001e-03	-1.61671406e-20	7.85609001e-03	-7.85609001e-03
2               	1.70621505e-01	8.36211036e-02	8.70004019e-02	3.37929822e-02	2.54189449e-03	3.12510877e-02	-1.43545966e-02	-1.68964911e-03	8.53107527e-03	-5.66359062e-20	8.53107527e-03	-8.53107527e-03
3               	1.96028171e-01	9.28904934e-02	1.03137678e-01	1.02471844e-01	1.50726411e-02	8.73992028e-02	-3.61632808e-02	-5.12359219e-03	9.80140856e-03	-8.09747296e-20	9.80140856e-03	-9.80140856e-03
4               	2.09265145e-01	9.70349285e-02	1.12230217e-01	1.51952881e-01	2.41534766e-02	1.27799405e-01	-5.18229641e-02	-7.59764406e-03	1.04632573e-02	-8.76501077e-20	1.04632573e-02	-1.04632573e-02
5               	1.99284899e-01	9.29740081e-02	1.06310890e-01	1.33368824e-01	2.28510557e-02	1.10517768e-01	-4.38333563e-02	-6.66844120e-03	9.96424493e-03	-7.86488964e-20	9.96424493e-03	-9.96424493e-03
6               	1.84200603e-01	8.66015294e-02	9.75990732e-02	1.09975438e-01	2.00519147e-02	8.99235234e-02	-3.49358043e-02	-5.49877190e-03	9.21003013e-03	-6.01425907e-20	9.21003013e-03	-9.21003013e-03
7               	1.56631935e-01	7.37721445e-02	8.28597908e-02	9.08764628e-02	1.77547147e-02	7.31217481e-02	-2.76835167e-02	-4.54382314e-03	7.83159676e-03	-4.02219184e-20	7.83159676e-03	-7.83159676e-03
8               	1.28848194e-01	6.13901809e-02	6.74580130e-02	6.06783208e-02	1.23148718e-02	4.83634490e-02	-1.80242886e-02	-3.03391604e-03	6.44240969e-03	-2.40159831e-20	6.44240969e-03	-6.44240969e-03
9               	9.65254280e-02	4.75692631e-02	4.89561649e-02	1.38690180e-02	5.19636001e-03	8.67265801e-03	-1.73814900e-03	-6.93450901e-04	4.82627140e-03	-1.26667600e-20	4.82627140e-03	-4.82627140e-03
10              	5.61997947e-02	3.22062363e-02	2.39935583e-02	-8.21267803e-02	-1.03078077e-02	-7.18189726e-02	3.07555824e-02	4.10633901e-03	2.80998973e-03	-6.90935830e-21	2.80998973e-03	-2.80998973e-03
